sequence_id,subject,category,file_name,source_relative_path,actual_duration_seconds,official_duration_seconds,fall_onset_seconds,fall_end_seconds,fall_label,fall_type,fall_interval_source,time_of_recording,attire,description,classes
gmdcsa24_955a1e53161fc84b,Subject 1,Fall,13.mp4,Subject 1/Fall/13.mp4,4.321333,4.0,0.4,4.0,Falling (BW),BW,official_explicit_interval,Day (Light On),T-shirt & Trousers,Standing position to falling. Backward fall. Full body (head) is not visible,Falling (BW)[0.4 to 4]; Standing[0 to 0.3]
gmdcsa24_96bd5526e40377ac,Subject 3,ADL,21.mp4,Subject 3/ADL/21.mp4,10.2252,10.0,,,,ADL,unparsed,Day,Kurta & Trousers,Drinking while sitting on the bed,Drinking[0 to 5.1]; Sitting[ 0 to 10]
gmdcsa24_96d7b3948ba6ab7c,Subject 2,Fall,06.mp4,Subject 2/Fall/06.mp4,6.497,6.0,2.1,6.0,Falling (BW),BW,official_explicit_interval,Day,T-Shirt & Pants,Walking while seeing the mobile phone then fall backward (left hand not fully in the frame),Falling (BW)[2.1 to 6]; Walking[0 to 1.9]
gmdcsa24_9807eb2335544fc1,Subject 1,Fall,01.mp4,Subject 1/Fall/01.mp4,6.865533,6.0,3.4,6.0,Falling (SW),SW,official_explicit_interval,Day (Light On),Full T-shirt & Trousers,Falling from sitting on the chair to the ground. Left side Fall. Full body not visible,Falling (SW)[3.4 to 6]; Sitting[0 to 3.4]
gmdcsa24_9bae374ba45c8dc7,Subject 1,Fall,09.mp4,Subject 1/Fall/09.mp4,4.481533,4.0,0.7,4.0,Falling (FW),FW,official_explicit_interval,Day (Light On),Full T-shirt & Trousers,Standing position to falling. Forward Fall. Full body (head) not visible,Falling (FW)[0.7 to 4]; Standing[0 to 0.6]
gmdcsa24_a3149bb1c897d47f,Subject 3,Fall,09.mp4,Subject 3/Fall/09.mp4,6.225,6.0,3.3,6.0,Falling (BW),BW,official_explicit_interval,Day,Full T-shirt & Trouser,Reading the book while sitting on the ground; then falling backward,Falling (BW)[3.3 to 6]; Reading[0 to 3.3]; Sitting[0 to 3.4]
gmdcsa24_a41af24b14a91697,Subject 2,Fall,07.mp4,Subject 2/Fall/07.mp4,4.529,4.0,2.0,4.0,Falling (FW),FW,official_explicit_interval,Day,Full Shirt & Pants,Falling (forward) after trying to pick the bottle from the ground,Falling (FW)[2 to 4]; Standing[0 to 1.7]
gmdcsa24_a42a66af9fc8e8e9,Subject 4,ADL,15.mp4,Subject 4/ADL/15.mp4,5.329567,5.0,,,,ADL,unparsed,Day (Lights On),Full Shirt & Pant,Sitting to sleeping on the bed,Sitting[0 to 0.5]; Sleeping[1.6 to 5]
gmdcsa24_a5563045241b4629,Subject 1,Fall,04.mp4,Subject 1/Fall/04.mp4,4.9613,4.0,2.3,4.0,Falling (SW),SW,official_explicit_interval,Day (Light On),Full T-shirt & Trousers,Falling from sitting on the chair to the ground. Right side fall,Falling (SW)[2.3 to 4]; Sitting[0 to 2.2]
gmdcsa24_a68ce68aa309267d,Subject 4,ADL,02.mp4,Subject 4/ADL/02.mp4,10.561467,10.0,,,,ADL,unparsed,Day (Lights Off),Full Shirt & Pant,Talking on the mobile phone while walking,Walking[0 to 10]
gmdcsa24_a8825d89c0955f68,Subject 2,Fall,02.mp4,Subject 2/Fall/02.mp4,8.448,8.0,2.7,8.0,Falling (SW),SW,official_explicit_interval,Day,T-Shirt & Pants,Right side fall on the ground after walking,Falling (SW)[2.7 to 8]; Walking[0 to 2.6]
gmdcsa24_a90c5a6f8c2c1bb8,Subject 3,Fall,04.mp4,Subject 3/Fall/04.mp4,5.457533,5.0,1.2,5.0,Falling (BW),BW,official_explicit_interval,Day,Full T-shirt & Trouser,Walking and then falling backward on the floor,Falling (BW)[1.2 to 5]; Walking[0 to 1.2]
gmdcsa24_a923f3fac2304a8c,Subject 3,Fall,20.mp4,Subject 3/Fall/20.mp4,6.2414,6.0,2.3,6.0,Falling (FW),FW,official_explicit_interval,Night,Full T-shirt (different) & Trouser,Walking then falling forward on the floor,Falling (FW)[2.3 to 6]; Walking[0 to 2.2]
gmdcsa24_aa074bdcf93026e6,Subject 4,Fall,06.mp4,Subject 4/Fall/06.mp4,6.129633,6.0,1.1,6.0,Falling (SW),SW,official_explicit_interval,Day (Lights Off),Full Shirt & Pant,Falling (LS) on the bed from sitting on the bed then falling (RS) to the floor,Falling (SW)[1.1 to 6]; Sitting[0 to 1]
gmdcsa24_abaced84cd40b09f,Subject 3,Fall,18.mp4,Subject 3/Fall/18.mp4,11.8736,11.0,4.2,11.0,Falling (SW),SW,official_explicit_interval,Night,Full T-shirt (different) & Trouser,Sitting on the bed; then falling on the floor,Falling (SW)[4.2 to 11]; Sitting[0 to 3.2]
gmdcsa24_ad6360ea3513d0f5,Subject 1,ADL,03.mp4,Subject 1/ADL/03.mp4,6.689433,6.0,,,,ADL,unparsed,Day (Light On),Full T-shirt & Trousers,Sitting on the bed to sleeping left side on the bed. Face towards the ceiling,Sitting[0 to 0.5]; Sleeping[1 to 6]
gmdcsa24_ae112e7e05ca62ed,Subject 1,Fall,14.mp4,Subject 1/Fall/14.mp4,5.697333,5.0,0.3,5.0,Falling (BW),BW,official_explicit_interval,Day (Light On),T-shirt & Trousers,Standing position to falling. Backward fall. Full body (both ankles) is not visible,Falling (BW) [0.3 to 5]; Standing [0 to 0.2]
gmdcsa24_aefbdc248f169ec3,Subject 3,ADL,07.mp4,Subject 3/ADL/07.mp4,3.3455,3.0,,,,ADL,unparsed,Day,Full T-shirt & Trousers,Exercising (sitting and standing),Exercising[0 to 3]; Standing[0 to 0.3; 1.5 to 2.2]
gmdcsa24_af4e5edb1e1d7240,Subject 2,ADL,04.mp4,Subject 2/ADL/04.mp4,7.841533,70.0,,,,ADL,unparsed,Day,Full Shirt & Pant,Yoga: Standing forward bend (Uttanasana),Exercising[0 to 7]; Standing[0 to 7]
gmdcsa24_b0dc3773042a1ae0,Subject 2,ADL,05.mp4,Subject 2/ADL/05.mp4,10.817533,10.0,,,,ADL,unparsed,Day,Full Shirt & Pant,Throwing a book on the bed; standing up from the ground; walking; and opening the curtain,Sitting[0 to 2.8]; Standing[3.1 to 4.1]; Walking[4.1 to 10]
gmdcsa24_b17c5217c0050c95,Subject 1,Fall,03.mp4,Subject 1/Fall/03.mp4,5.921633,5.0,2.5,5.0,Falling (SW),SW,official_explicit_interval,Day (Light On),Full T-shirt & Trousers,Falling from sitting on the chair to the ground. Left side fall,Falling (SW)[2.5 to 5]; Sitting[0 to 2.5]
gmdcsa24_b383bb83a22b286c,Subject 3,ADL,08.mp4,Subject 3/ADL/08.mp4,4.897,4.0,,,,ADL,unparsed,Day,Full T-shirt & Trousers,Sitting to sleeping on the floor,Sitting[0 to 0.8]; Sleeping[0.8 to 4]
gmdcsa24_b3fb82289131f8d3,Subject 3,ADL,15.mp4,Subject 3/ADL/15.mp4,7.665233,7.0,,,,ADL,unparsed,Night,Full T-shirt (different) & Trousers,Reading newspaper while sitting on the floor,Reading[0 to 7]; Sitting[0 to 7]
gmdcsa24_b56a914572559ea7,Subject 4,ADL,08.mp4,Subject 4/ADL/08.mp4,12.3375,12.0,,,,ADL,unparsed,Day (Lights Off),Full Shirt & Pant,Sleeping to sitting; putting on the goggles and drinking water,Drinking[8.5 to 12]; Sitting[2.1 to 12]; Sleeping[0 to 1.1]
gmdcsa24_b8b4f8846e66c82c,Subject 1,ADL,08.mp4,Subject 1/ADL/08.mp4,6.289433,6.0,,,,ADL,unparsed,Day (Light On),Full T-shirt & Trousers,Walking in the room,Walking[0 to 6]
gmdcsa24_ba4b775bbccd031d,Subject 1,ADL,12.mp4,Subject 1/ADL/12.mp4,7.329533,7.0,,,,ADL,unparsed,Day (Light On),Full T-shirt & Trousers,Reading book while sitting on the chair to stand up and keeping the book on the chair and going out of the room,Reading[0 to 2.5]; Sitting[0 to 3.3]; Standing[3.3 to 5];Walking[5 to 7];
gmdcsa24_ba99029162ed00d1,Subject 1,Fall,16.mp4,Subject 1/Fall/16.mp4,6.0973,6.0,2.8,6.0,Falling (SW),SW,official_explicit_interval,Day (Light On),T-shirt & Trousers,Sitting on the chair (side view) to the left side fall,Falling (SW) [ 2.8 to 6]; Sitting [0 to 2.9]
gmdcsa24_be235fef9bda633f,Subject 4,Fall,01.mp4,Subject 4/Fall/01.mp4,4.6575,4.0,1.8,4.0,Falling (SW),SW,official_explicit_interval,Day (Lights On),Full Shirt & Pant,Standing on the bed to falling (LS) on the bed,Falling (SW)[1.8 to 4]; Standing[0 to 1.5]
gmdcsa24_c25e4fc9b669cb58,Subject 1,Fall,11.mp4,Subject 1/Fall/11.mp4,6.0974,6.0,1.0,6.0,Falling (BW),BW,official_explicit_interval,Day (Light On),T-shirt & Trousers,Standing position to falling,Falling (BW)[1 to 6]; Standing[0 to 1]
gmdcsa24_c336f1f81cfa647a,Subject 1,ADL,04.mp4,Subject 1/ADL/04.mp4,5.8093,5.0,,,,ADL,unparsed,Day (Light On),Full T-shirt & Trousers,From sleeping left side on the bed (Face towards the ceiling) to sitting on the bed,Sitting[2.5 to 5]; Sleeping[0 to 1.5]
gmdcsa24_c428eb70c50a1ba8,Subject 1,Fall,15.mp4,Subject 1/Fall/15.mp4,6.001567,6.0,1.8,6.0,Falling (SW),SW,official_explicit_interval,Day (Light On),T-shirt & Trousers,Sitting on the chair (side view) to right side fall,Falling (SW) [1.8 to 6] ; Sitting [0 to 2]
gmdcsa24_c6821089a5b26053,Subject 2,Fall,10.mp4,Subject 2/Fall/10.mp4,11.1375,11.0,2.0,11.0,Falling (BW) | Falling (SW),BW+SW,official_explicit_interval,Night,Full Shirt & Jeans,Right side fall then backward,Falling (BW)[2 to 4]; Falling (SW)[4 to 11]; Walking[0 to 1.8]
gmdcsa24_c73bb07da0e58e21,Subject 2,Fall,03.mp4,Subject 2/Fall/03.mp4,7.041567,7.0,0.0,7.0,Falling (FW),FW,official_explicit_interval,Day,T-Shirt & Pants,Forward fall on the bed,Falling (FW)[0 to 7]
gmdcsa24_c757966a85eca419,Subject 3,Fall,10.mp4,Subject 3/Fall/10.mp4,4.385567,4.0,1.7,4.0,Falling (FW),FW,official_explicit_interval,Day,Full shirt & Trouser,Falling forward on the bed,Falling (FW)[1.7 to 4]
gmdcsa24_c76b7b74f56b344c,Subject 3,Fall,06.mp4,Subject 3/Fall/06.mp4,5.553633,5.0,0.0,5.0,Falling (BW),BW,official_explicit_interval,Day,Full T-shirt & Trouser,Falling (backward) on the floor from the sitting position,Falling (BW) [0 to 5]
gmdcsa24_c910141112d74d00,Subject 4,ADL,09.mp4,Subject 4/ADL/09.mp4,12.129467,12.0,,,,ADL,unparsed,Day (Lights Off),Full Shirt & Pant,Reading a book and checking the mobile phone while sitting on the bed,Reading[0 to 12]; Sitting[0 to 12]
gmdcsa24_cb12602e5cd5d3e2,Subject 1,ADL,11.mp4,Subject 1/ADL/11.mp4,9.313533,9.0,,,,ADL,unparsed,Day (Light On),Full T-shirt & Trousers,Walking to sitting on the chair and then reading book,Reading[5 to 9]; Sitting[3 to 9]; Walking[0 to 2]
gmdcsa24_cc8847e582cc3644,Subject 3,ADL,13.mp4,Subject 3/ADL/13.mp4,8.6415,8.0,,,,ADL,unparsed,Night,Full T-shirt (different) & Trousers,Sitting on the floor,Sitting[0 to 8]
gmdcsa24_ccfd632e5b642267,Subject 3,ADL,02.mp4,Subject 3/ADL/02.mp4,9.137533,9.0,,,,ADL,unparsed,Day,Full T-shirt & Trousers,Exercise (Hand up & down),Exercising[0 to 9]; Standing[0 to 9]
gmdcsa24_d054cb5088994ed1,Subject 2,Fall,18.mp4,Subject 2/Fall/18.mp4,11.553533,11.0,9.8,11.0,Falling (FW),FW,official_explicit_interval,Day,T-Shirt & Pants 2,Picking a water bottle from the ground and drinking water from it then falling forward on the ground,Falling (FW)[9.8 to 11]; Drinking[3.9 to 5.8]; Standing[0 to 2.3]; Walking[2.3 to 4.3]
gmdcsa24_d231d21a13552471,Subject 2,ADL,13.mp4,Subject 2/ADL/13.mp4,4.849,4.0,,,,ADL,unparsed,Day,T-shirt and Pant,Sitting on the ground and reading a book,Reading[1 to 4]; Sitting[1 to 4]; Standing[0 to 0.5]
gmdcsa24_d6651bf5f65931f5,Subject 3,Fall,11.mp4,Subject 3/Fall/11.mp4,8.9455,8.0,4.7,8.0,Falling (FW),FW,official_explicit_interval,Day,Kurta & Trouser,Eating in standing position then falling forward,Falling (FW)[4.7 to 8]; Eating[0 to 2]; Standing[0 to 4.6]
gmdcsa24_d7bd6f68df5f0c52,Subject 4,ADL,05.mp4,Subject 4/ADL/05.mp4,7.361667,7.0,,,,ADL,unparsed,Day (Lights Off),Full Shirt & Pant,Doing exercise (push-up); view 1,Exercising[2.6 to 7]; Walking[0 to 1.9]
gmdcsa24_d944e20496c582d5,Subject 4,ADL,18.mp4,Subject 4/ADL/18.mp4,14.097433,14.0,,,,ADL,unparsed,Day (Lights On),Full Shirt & Pant,Wiping the face with a handkerchief; putting on the goggles; then reading a book,Reading[11.5 to 14]; Sitting[0.7 to 14]
gmdcsa24_db2f0ead5f8daf17,Subject 1,Fall,08.mp4,Subject 1/Fall/08.mp4,4.353433,4.0,0.8,4.0,Falling (FW),FW,official_explicit_interval,Day (Light On),Full T-shirt & Trousers,Walking to falling. Left side fall,Falling (FW)[0.8 to 4]; Walking[0 to 0.8]
gmdcsa24_dbea18d773a46e9a,Subject 4,Fall,12.mp4,Subject 4/Fall/12.mp4,4.625333,4.0,1.5,4.0,Falling (FW),FW,official_explicit_interval,Day (Lights On),T-Shirt & Pant,Falling (FW)to the floor from sitting on the bed,Falling (FW)[1.5 to 4]; Sitting[0 to 1.3]
gmdcsa24_dcfb055cfa07f9b4,Subject 2,ADL,23.mp4,Subject 2/ADL/23.mp4,7.281,7.0,,,,ADL,unparsed,Night,Full Shirt & Jeans,Eating biscuits while sitting on the bed with legs folded,Eating[4.2 to 5.2]; Sitting[0 to 7]
gmdcsa24_de6400042b58e6bd,Subject 3,Fall,17.mp4,Subject 3/Fall/17.mp4,8.513367,8.0,1.4,8.0,Falling (BW),BW,official_explicit_interval,Night,Full T-shirt (different) & Trouser,Reading newspaper then falling Backward on the bed,Falling (BW)[1.4 to 8]; Reading[0 to 1.1]; Sitting[0 to 1.4]
gmdcsa24_df03bbbb1cb6c2fb,Subject 2,ADL,03.mp4,Subject 2/ADL/03.mp4,11.937333,11.0,,,,ADL,unparsed,Day,Full Shirt & Pant,Walking; removing dust from the bed using a pillow; and sleeping on the bed,Sitting[5.6 to 7.4]; Sleeping[8 to 11]; Walking[0 to 4.6]
gmdcsa24_e00d0a0d827eb19a,Subject 4,Fall,10.mp4,Subject 4/Fall/10.mp4,5.057567,5.0,2.2,5.0,Falling (FW),FW,official_explicit_interval,Day (Lights On),Full Shirt & Pant,Reading a book while sitting on the chair then falling (FW) on the ground,Falling (FW)[2.2 to 5]; Reading[0 to 2.1]; Sitting[0 to 2.1]
gmdcsa24_e31a4a6e9cbb4682,Subject 2,Fall,09.mp4,Subject 2/Fall/09.mp4,5.601,5.0,1.8,5.0,Falling (BW),BW,official_explicit_interval,Day,Full Shirt & Pants,Falling backward after walking,Falling (BW)[1.8 to 5]; Walking[0 to 1.7]
gmdcsa24_e337e1248f012e5d,Subject 4,ADL,14.mp4,Subject 4/ADL/14.mp4,8.305667,8.0,,,,ADL,unparsed,Day (Lights On),Full Shirt & Pant,Sitting in the chair to standing on the floor; then picking up the water bottle and drinking water from it,Drinking[4.5 to 6.7]; Standing[0 to 0.3; 1.5 to 8]; Walking[0.4 to 1.4]
gmdcsa24_e4e8574c3f9da325,Subject 1,ADL,16.mp4,Subject 1/ADL/16.mp4,3.5214,3.0,,,,ADL,unparsed,Day (Light On),T-shirt & Trousers,Picking the mobile phone from the ground while sitting on the chair,Sitting[0 to 3]
gmdcsa24_e584c98e13100bef,Subject 1,Fall,07.mp4,Subject 1/Fall/07.mp4,5.1535,5.0,1.1,5.0,Falling (SW),SW,official_explicit_interval,Day (Light On),Full T-shirt & Trousers,Walking to falling. Right side fall,Falling (SW)[1.1 to 5]; Walking[0 to 1]
gmdcsa24_e59c664c3d241141,Subject 2,Fall,22.mp4,Subject 2/Fall/22.mp4,5.201333,5.0,1.3,5.0,Falling (FW),FW,official_explicit_interval,Day,T-Shirt & Pants 2,Walking then falling forward,Falling (FW)[1.3 to 5]; Walking[0 to 1.2]
gmdcsa24_e71633817f5f578b,Subject 2,Fall,21.mp4,Subject 2/Fall/21.mp4,9.4897,9.0,6.2,9.0,Falling (SW),SW,official_explicit_interval,Day,T-Shirt & Pants 2,Standing then falling sideways,Falling (SW)[6.2 to 9]; Standing[0 to 4.9]; Walking[4.9 to 6.1]
gmdcsa24_ed166a2dd711c893,Subject 2,Fall,11.mp4,Subject 2/Fall/11.mp4,10.593333,10.0,5.9,10.0,Falling (BW,UNSPECIFIED,official_explicit_interval,Night,Full Shirt & Jeans,Falling from bed to ground,Falling (BW[5.9 to 10]; Walking[0 to 1.3]
gmdcsa24_ee5a78873971cced,Subject 4,Fall,17.mp4,Subject 4/Fall/17.mp4,6.929433,6.0,2.8,6.0,Falling (SW),SW,official_explicit_interval,Day (Lights On),T-Shirt & Pant,Falling (LS) on the bed from sitting on the bed,Falling (SW)[2.8 to 6]; Sitting[0 to 2.6]
gmdcsa24_ef58c25c6d49708a,Subject 2,ADL,08.mp4,Subject 2/ADL/08.mp4,13.6656,13.0,,,,ADL,unparsed,Day,Full Shirt & Pant,Exercising (Stretching thigh and trying to touch the ground:Pyramid Pose),Exercising[0 to 13]; Standing[4.5 to 6.2; 10 to 13]
gmdcsa24_efbb2c6c4721df50,Subject 3,Fall,05.mp4,Subject 3/Fall/05.mp4,10.049367,10.0,3.2,10.0,Falling (BW),BW,official_explicit_interval,Day,Full T-shirt & Trouser,Falling slowly from standing position to the floor,Falling (BW)[3.2 to 10]; Standing[0 to 3]
gmdcsa24_f2158b2acc02dd53,Subject 4,Fall,16.mp4,Subject 4/Fall/16.mp4,7.105633,7.0,3.2,7.0,Falling (FW),FW,official_explicit_interval,Day (Lights On),T-Shirt & Pant,Walking then falling (FW) on the floor,Falling (FW)[3.2 to 7]; Walking[0 to 2.9]
gmdcsa24_f249125e2c270bcd,Subject 2,Fall,04.mp4,Subject 2/Fall/04.mp4,10.209633,10.0,3.3,10.0,Falling (BW),BW,official_explicit_interval,Day,T-Shirt & Pants,Seeing outside the window then backward fall,Falling (BW)[3.3 to 10]; Standing[0 to 3.1]
gmdcsa24_f587753621be201c,Subject 3,ADL,03.mp4,Subject 3/ADL/03.mp4,9.921767,9.0,,,,ADL,unparsed,Day,Full T-shirt & Trousers,Getting up from the sleeping position from the bed; Putting a mask on the face; then walking,Sitting[3 to 7.4]; Sleeping[0 to 1]; Standing[7.6 to 8.4]; Walking[8.5 to 9]
gmdcsa24_f9bb9dc48699ec99,Subject 4,Fall,05.mp4,Subject 4/Fall/05.mp4,7.409633,7.0,2.7,7.0,Falling (SW),SW,official_explicit_interval,Day (Lights Off),Full Shirt & Pant,Falling (RS) on the bed from sitting on the bed,Falling (SW)[2.7 to 7]; Sitting[0 to 2.4]
gmdcsa24_fafe0e19c418fd99,Subject 2,Fall,25.mp4,Subject 2/Fall/25.mp4,7.2979,7.0,3.0,7.0,Falling (BW),BW,official_explicit_interval,Day,T-Shirt & Pants 2,Standing then falling backward on the ground,Falling (BW)[3 to 7]; Standing[0 to 3]
gmdcsa24_fd7a5a21770ab0c4,Subject 2,ADL,19.mp4,Subject 2/ADL/19.mp4,11.3294,11.0,,,,ADL,unparsed,Night,Full Shirt & Jeans,Sitting on the ground and writing in a notebook,Sitting[1 to 11]; Walking[0 to 0.6]; Writing[5 to 11]
